@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {happy,sad,angry,calm,fearful,neutral}

@DATA
0.052355,0.011574,2.945194,0.248815,0.214438,0.789749,0.008152,0.061896,-34.812905,0.613436,-0.540118,-0.299561,-0.309094,-0.351708,-0.264299,-0.227962,0.141349,0.119755,0.295783,0.087641,-0.151075,0.005214,0.008626,0.008143,0.007003,0.003088,0.003500,0.016428,0.004289,0.015366,0.013264,0.005996,0.003431,0.013661,0.024219,0.010452,0.380684,0.056935,0.034360,0.423152,0.005685,0.050815,2.776228,0.696576,0.598372,0.509541,0.339808,0.314448,0.370021,0.359727,0.286898,0.282721,0.381414,0.203421,0.215936,0.005969,0.012369,0.010559,0.010762,0.003077,0.005375,0.014286,0.006652,0.017097,0.017028,0.008097,0.004214,0.009271,happy
0.066584,0.018185,3.117464,0.153998,0.180835,0.569988,0.010225,0.098071,-29.607557,1.249434,-0.306573,0.107699,-0.455569,-0.059787,0.160450,-0.058524,-0.104888,0.000175,-0.283805,-0.050942,-0.160838,0.014640,0.006341,0.017440,0.009888,0.023939,0.006680,0.020192,0.003095,0.008263,0.016065,0.012620,0.006262,0.019120,0.039525,0.017590,0.231189,0.053456,0.034022,0.447676,0.007251,0.075383,2.399631,0.716968,0.860710,0.536127,0.520526,0.331066,0.339882,0.302271,0.278782,0.266493,0.264485,0.301886,0.254010,0.020270,0.009635,0.023470,0.014589,0.021663,0.008022,0.019653,0.003750,0.011095,0.019551,0.012188,0.010221,0.012800,happy
0.058108,0.013077,2.737186,0.241932,0.211353,0.858059,0.008026,0.072275,-35.176091,0.785215,-0.489598,-0.454066,-0.437489,-0.283979,-0.229820,-0.248456,0.118950,0.133983,0.246080,0.042815,-0.093306,0.011375,0.009055,0.005539,0.005997,0.007965,0.005664,0.013277,0.003903,0.016788,0.015412,0.007724,0.005669,0.015281,0.033900,0.014569,0.375784,0.085622,0.049137,0.501986,0.005903,0.072022,3.133031,0.760335,0.607479,0.505058,0.438471,0.352356,0.405599,0.356343,0.301614,0.266711,0.372465,0.194109,0.215132,0.016561,0.015855,0.007650,0.005884,0.013100,0.010752,0.018223,0.005864,0.024733,0.023066,0.009178,0.008061,0.011595,happy
0.060926,0.021974,2.895961,0.239225,0.227574,0.742703,0.009718,0.171216,-31.174790,1.829353,0.233809,0.022459,0.022191,0.052354,0.117410,0.008055,-0.047258,-0.007190,-0.183503,-0.031225,-0.104155,0.012617,0.002851,0.034393,0.008537,0.006847,0.003453,0.082112,0.001087,0.008942,0.018535,0.023326,0.002549,0.035231,0.053164,0.017113,0.317956,0.085268,0.047244,0.533729,0.007015,0.149867,3.029633,0.818482,0.643557,0.528450,0.460164,0.242358,0.293191,0.274824,0.227983,0.190620,0.259639,0.269317,0.221249,0.022049,0.005173,0.042431,0.010708,0.007597,0.004410,0.058296,0.001343,0.012286,0.021583,0.028764,0.004361,0.016310,happy
0.072858,0.010047,3.052406,0.192357,0.183649,0.882143,0.030301,0.131387,-32.641898,0.441638,-0.459975,-0.375974,-0.171654,-0.293566,-0.364506,-0.466595,0.136825,0.147933,0.338297,-0.005899,-0.176765,0.006034,0.007560,0.005975,0.010951,0.003230,0.005463,0.035293,0.003669,0.015293,0.014423,0.004127,0.003217,0.019566,0.045360,0.011037,0.306781,0.074793,0.043890,0.467498,0.042093,0.085886,3.389220,0.823765,0.567420,0.544813,0.344604,0.386868,0.405124,0.373114,0.338702,0.229355,0.392811,0.240639,0.222063,0.007921,0.012653,0.004257,0.016478,0.003771,0.008566,0.034049,0.005427,0.022940,0.017374,0.004013,0.004736,0.013943,happy
0.060096,0.012070,2.888449,0.249017,0.230470,1.025264,0.006338,0.179667,-33.117935,1.282361,0.069919,-0.235843,-0.139250,0.352320,-0.013969,0.034890,-0.167625,-0.122162,-0.151481,-0.032493,-0.105571,0.011718,0.004119,0.042291,0.008511,0.011008,0.003591,0.039748,0.002268,0.006522,0.012785,0.020807,0.002529,0.024012,0.047183,0.013593,0.373338,0.056081,0.034106,0.515284,0.004756,0.123020,2.894588,0.560796,0.691167,0.489769,0.391937,0.300983,0.232468,0.242451,0.251840,0.201376,0.231498,0.254328,0.239253,0.015825,0.006609,0.040099,0.009273,0.015359,0.004607,0.031307,0.002772,0.008353,0.012914,0.020874,0.003274,0.012685,happy
0.055784,0.008416,2.795983,0.227730,0.240680,0.418735,0.016468,0.062761,-34.474374,1.201979,-0.189179,-0.127002,-0.131030,-0.216128,-0.293527,-0.155905,0.119715,0.341675,0.318101,0.096775,-0.120512,0.005445,0.006427,0.037199,0.005254,0.002626,0.003901,0.085999,0.005958,0.017683,0.012134,0.006419,0.005244,0.036545,0.047160,0.012469,0.421233,0.069020,0.039213,0.419349,0.015604,0.080073,3.554123,0.740945,0.581388,0.552354,0.366831,0.290660,0.419361,0.335578,0.403553,0.281000,0.355466,0.243056,0.182403,0.010238,0.012859,0.039452,0.009006,0.004538,0.008508,0.050623,0.016501,0.027836,0.021536,0.009168,0.011160,0.015356,happy
0.062948,0.016212,3.089386,0.186389,0.196644,0.848351,0.010907,0.130983,-30.670867,1.448904,0.174187,-0.375355,-0.179140,0.134725,-0.095553,0.087039,0.013147,-0.153975,0.011645,-0.154784,-0.055629,0.010552,0.007263,0.030887,0.013265,0.013596,0.008572,0.029863,0.002725,0.006644,0.021583,0.021693,0.004391,0.021930,0.034703,0.014342,0.221673,0.053696,0.039831,0.400049,0.008552,0.071199,2.789832,0.719643,0.734995,0.585428,0.475099,0.254964,0.285720,0.231251,0.227273,0.264335,0.213794,0.269543,0.237842,0.012158,0.013947,0.032406,0.017902,0.015361,0.014395,0.030150,0.004882,0.008326,0.025406,0.025963,0.005392,0.009713,happy
0.109330,0.018950,3.119120,0.199600,0.196629,0.887319,0.008826,0.104653,-32.707245,0.755014,0.089659,-0.462773,-0.518779,-0.395599,-0.082087,-0.284008,0.306678,0.176609,0.285934,0.115896,-0.121966,0.009173,0.008452,0.018054,0.004128,0.005266,0.003237,0.026735,0.002541,0.013793,0.023441,0.012890,0.005643,0.019671,0.036635,0.015539,0.227127,0.040645,0.028567,0.330494,0.005757,0.056323,1.856082,0.728574,0.580512,0.366687,0.393797,0.352414,0.290683,0.370705,0.310985,0.293339,0.310474,0.262955,0.200126,0.016055,0.014784,0.017276,0.005144,0.013175,0.006068,0.019642,0.003006,0.015887,0.029244,0.013888,0.008419,0.009780,happy
0.058231,0.017700,2.845809,0.231175,0.234440,0.683997,0.007743,0.100083,-32.670209,2.045385,0.115554,0.182944,-0.042975,0.139609,0.136798,0.053021,-0.028127,-0.053704,-0.181842,0.012312,-0.029607,0.009618,0.002210,0.047502,0.010143,0.005867,0.002577,0.060536,0.002702,0.008544,0.023137,0.025148,0.001547,0.031593,0.039777,0.015764,0.396851,0.065048,0.036501,0.490706,0.007028,0.087399,3.030262,0.680681,0.668636,0.396276,0.409103,0.244292,0.259525,0.234351,0.208572,0.215241,0.227773,0.263529,0.230159,0.011712,0.003469,0.050463,0.016924,0.005469,0.003572,0.047920,0.004029,0.012124,0.022341,0.022639,0.001802,0.015853,happy
